source,model,dataset,subject_id,seed,preprocess,bandpass,notch,car,ica,baseline,residual,l_freq,h_freq,test_accuracy,test_macro_f1,val_best_accuracy,num_epochs,params_total,duration_sec,run_id
ablation,cnn,BCI,,7,1,0,0,1,0,0,0,0.5,125,0.5173333333333333,0.51668146648129,0.5253333333333333,50,99621,89.82358503341675,20250824_132644_56910ab7
ablation,eegnet,BCI,,7,1,0,0,1,0,0,0,0.5,125,0.272,0.2702331301317234,0.284,50,13205,171.59005999565125,20250824_132644_56910ab7
ablation,shallowconvnet,BCI,,7,1,0,0,1,0,0,0,0.5,125,0.3453333333333333,0.33775220971103925,0.34,50,13045,268.9059228897095,20250824_132644_56910ab7
ablation,deepconvnet,BCI,,7,1,0,0,1,0,0,0,0.5,125,0.284,0.27611094069675163,0.31066666666666665,50,179730,346.10493087768555,20250824_132644_56910ab7
ablation,mlp,BCI,,42,1,1,1,0,1,1,0,0.5,125,0.18933333333333333,0.13176770190234083,0.21333333333333335,50,52693509,50.571154832839966,20250824_132722_f08f8dc4
ablation,cnn,BCI,,42,1,1,1,0,1,1,0,0.5,125,0.22533333333333333,0.2204945919074671,0.23733333333333334,50,99621,90.9290668964386,20250824_132722_f08f8dc4
ablation,eegnet,BCI,,42,1,1,1,0,1,1,0,0.5,125,0.19733333333333333,0.19670254720014177,0.23333333333333334,50,13205,173.99612498283386,20250824_132722_f08f8dc4
ablation,shallowconvnet,BCI,,42,1,1,1,0,1,1,0,0.5,125,0.208,0.19615361828963315,0.24133333333333334,50,13045,273.14363384246826,20250824_132722_f08f8dc4
ablation,deepconvnet,BCI,,42,1,1,1,0,1,1,0,0.5,125,0.23066666666666666,0.22862372674190654,0.22666666666666666,50,179730,351.9011309146881,20250824_132722_f08f8dc4
ablation,mlp,BCI,,7,1,0,0,0,0,1,0,0.5,125,0.20133333333333334,0.09275450159796492,0.20533333333333334,50,52693509,48.66646981239319,20250824_132746_8c85d7df
