channel,kw_min_p,kw_eta2_from_maxH,mi_sum,MI_BP_0.0-1.0Hz,MI_BP_0.5-4.0Hz,MI_BP_4.0-8.0Hz,MI_slope,MI_offset,kw_p_adj,kw_significant
19,0.0003359933471517643,0.057187168947199885,0.11830297518580357,0.0,0.007087149002041215,0.0,0.0,0.11121582618376236,0.0006612843394379831,True
36,0.00041443412455424825,0.05562679580306726,0.0884981118821333,0.028333341202251283,0.024383527673241367,0.005875555790988418,0.0,0.029905687215652232,0.0007801112932785849,True
53,0.0004410825332260511,0.05516276066595372,0.032160050419396846,0.0,0.0,0.0,0.0,0.032160050419396846,0.0008065509178990649,True
31,0.0007606171253163711,0.051092861835313745,0.1703726289305485,0.08220128741675126,0.0,0.025236471716568065,0.0,0.06293486979722918,0.0013522082227846598,True
57,0.0008647072143908258,0.05013142631904984,0.1287073583472793,0.028750372478102193,0.0,0.0,0.07625001669785769,0.023706969171319425,0.0014957097762435905,True
45,0.001247430502868607,0.04737667661467478,0.10983310673598279,0.03283670741107514,0.0,0.007589818544765592,0.06940658078014206,0.0,0.0021009355837787068,True
62,0.001349441370599992,0.046784180790960445,0.20650800436754224,0.06015505483285555,0.0303968184811092,0.0,0.01564086980256052,0.10031526125101697,0.0022144678902153714,True
11,0.0014829151261680105,0.04607245903485564,0.20532670329336078,0.07531896395227555,0.05083914125999289,0.0,0.04375910223671253,0.0354094958443798,0.0023350260923876483,True
58,0.0014958760904358374,0.046006749629295726,0.17668600789734068,0.05667414602339882,0.03071583869782124,0.0,0.027858908263538318,0.0614371149125823,0.0023350260923876483,True
44,0.0016974926379648785,0.04505117029862781,0.0766412700429755,0.0,0.026135067973720894,0.011600161220464589,0.0,0.03890604084879001,0.002586655448327434,True
27,0.0017959435357943043,0.044624569701747566,0.08148879045693036,0.0,0.016541332449969914,0.0,0.05258485142204483,0.012362606584915614,0.0026730322393217552,True
7,0.0019760306358842248,0.04390074516207748,0.34207826381214224,0.11849557290038248,0.0,0.058920306194692795,0.06048249787099458,0.10417988684607238,0.0028742263794679633,True
3,0.0022895155583516286,0.04278349006137733,0.11263822789002598,0.058251247693822616,0.0,0.0,0.0,0.05438698019620336,0.003256199905211205,True
25,0.003053833126664376,0.0405908741107793,0.14152324691023788,0.08513432965772827,0.0,0.032894534976393164,0.0,0.023494382276116443,0.00424881130666348,True
49,0.0031218752475002283,0.04042274152073148,0.038781118705023765,0.0,0.0,0.0,0.0,0.038781118705023765,0.004251064166808822,True
5,0.004007891652586047,0.03851239371586308,0.10796432997157757,0.026455386349153454,0.0,0.025281445945380288,0.0,0.056227497677043825,0.005343855536781396,True
54,0.004522454887834084,0.037585900106988465,0.03762449957080305,0.004389318018368282,0.0,0.008633240055333946,0.0,0.02460194149710082,0.005906879853497579,True
